row_index,life_stage,risk_level,need,status,llm_w_cash,llm_w_bond,llm_w_equity,llm_w_commodity,exp_w_cash,exp_w_bond,exp_w_equity,exp_w_commodity,diff_cash,diff_bond,diff_equity,diff_commodity,total_diff,llm_vol,exp_vol,api_latency_ms,errors
35,小孩成年前,C2,传承,success,8,92,0,0,8,83,5,4,0,9,-5,-4,18,0.01891259897528629,0.019818,2710.4849815368652,
36,子女成年,C2,保值,validation_failed,93,0,7,0,9,85,2,4,,,,,,0.01884314994898677,0.017664,2822.6709365844727,Portfolio volatility 0.018843 > cap 0.018000
37,子女成年,C2,增值,validation_failed,6,91,2,1,11,80,3,6,,,,,,0.018487687794854175,0.017751,2460.211992263794,Portfolio volatility 0.018488 > cap 0.018000
38,子女成年,C2,传承,validation_failed,6,94,0,0,10,82,3,5,,,,,,0.019319772255386447,0.017829,2701.2782096862793,Portfolio volatility 0.019320 > cap 0.018000
39,退休,C2,保值,validation_failed,12,84,2,2,25,71,2,2,,,,,,0.01719045083760167,0.014721,3013.8821601867676,Portfolio volatility 0.017190 > cap 0.015000
40,退休,C2,增值,validation_failed,12,88,0,0,25,69,3,3,,,,,,0.018099016547868007,0.015177,4025.0988006591797,Portfolio volatility 0.018099 > cap 0.015000
41,退休,C2,传承,validation_failed,12,83,3,2,24,71,2,3,,,,,,0.01751450541693941,0.014848,2824.1121768951416,Portfolio volatility 0.017515 > cap 0.015000
42,刚毕业,C3,保值,success,3,43,40,14,3,43,23,31,0,0,17,-17,34,0.10400512391223811,0.066013,3392.90714263916,
43,刚毕业,C3,增值,validation_failed,3,25,60,12,3,25,25,47,,,,,,0.15623458579968777,0.078661,2745.5239295959473,Portfolio volatility 0.156235 > cap 0.128000
44,刚毕业,C3,传承,validation_failed,3,35,60,2,3,32,24,41,,,,,,0.1556231017554913,0.073162,2544.658899307251,Portfolio volatility 0.155623 > cap 0.128000
45,单身青年,C3,保值,success,4,45,40,11,4,45,23,28,0,0,17,-17,34,0.10366129557361321,0.064754,3811.0101222991943,
46,单身青年,C3,增值,validation_failed,4,32,56,8,4,28,25,43,,,,,,0.14539883906001452,0.07645,2985.344886779785,Portfolio volatility 0.145399 > cap 0.120000
47,单身青年,C3,传承,validation_failed,4,35,50,11,4,35,24,37,,,,,,0.12985402650668942,0.071116,2312.201976776123,Portfolio volatility 0.129854 > cap 0.120000
48,二人世界,C3,保值,success,7,45,38,10,7,46,21,26,0,-1,17,-16,34,0.09840476512852414,0.059272,2641.366958618164,
49,二人世界,C3,增值,validation_failed,7,29,54,10,7,30,23,40,,,,,,0.1403799878900123,0.070488,3476.8710136413574,Portfolio volatility 0.140380 > cap 0.112000
50,二人世界,C3,传承,success,7,46,42,5,7,36,23,34,0,10,19,-29,58,0.10848558798292057,0.067428,3316.650629043579,
51,小孩学前,C3,保值,success,10,59,25,6,10,49,21,20,0,10,4,-14,28,0.06443487176987318,0.057104,3395.169973373413,
52,小孩学前,C3,增值,validation_failed,10,35,45,10,10,35,23,32,,,,,,0.11680281460649825,0.06653,3074.5296478271484,Portfolio volatility 0.116803 > cap 0.112000
53,小孩学前,C3,传承,success,10,40,40,10,10,41,22,27,0,-1,18,-17,36,0.10369937319000536,0.062039,2945.1394081115723,
54,小孩成年前,C3,保值,success,8,65,20,7,8,57,21,14,0,8,-1,-7,16,0.051885930655621866,0.055491,3640.115261077881,
55,小孩成年前,C3,增值,success,8,53,35,4,8,46,25,21,0,7,10,-17,34,0.09015867290505113,0.067191,3097.968816757202,
56,小孩成年前,C3,传承,success,8,58,30,4,8,50,22,20,0,8,8,-16,32,0.07717441804121362,0.059527,3556.3132762908936,
57,子女成年,C3,保值,success,6,65,15,14,6,66,19,9,0,-1,-4,5,10,0.04113831182729792,0.049673,2533.313751220703,
58,子女成年,C3,增值,success,6,56,30,8,6,56,31,7,0,0,-1,1,2,0.07742336339891209,0.079921,3071.8469619750977,
59,子女成年,C3,传承,success,6,66,24,4,6,60,21,13,0,6,3,-9,18,0.06177157274993085,0.055291,2848.0207920074463,
60,退休,C3,保值,success,12,81,5,2,12,69,19,0,0,12,-14,2,28,0.01927830646089018,0.049115,3231.5399646759033,
61,退休,C3,增值,success,12,62,20,6,12,63,23,2,0,-1,-3,4,8,0.051754195965158234,0.05916,4233.888864517212,
62,退休,C3,传承,success,12,77,10,1,12,66,17,5,0,11,-7,-4,22,0.02800017499945313,0.044235,2771.8820571899414,
63,刚毕业,C4,保值,success,3,33,50,14,3,34,32,31,0,-1,18,-17,36,0.13014385041176552,0.087609,2740.9462928771973,
64,刚毕业,C4,增值,validation_failed,3,12,70,15,3,12,35,50,,,,,,0.18290615189216575,0.102719,3432.9581260681152,Portfolio volatility 0.182906 > cap 0.160000
65,刚毕业,C4,传承,success,3,21,60,16,3,21,34,42,0,0,26,-26,52,0.15665595232866195,0.096724,3444.4549083709717,
66,单身青年,C4,保值,success,4,50,40,6,4,36,33,27,0,14,7,-21,42,0.10323863230399753,0.08884,3136.1281871795654,
67,单身青年,C4,增值,validation_failed,4,16,60,20,4,16,35,45,,,,,,0.15721313431135453,0.100441,2709.6939086914062,Portfolio volatility 0.157213 > cap 0.150000
68,单身青年,C4,传承,validation_failed,4,28,60,8,4,24,34,38,,,,,,0.1559473808693176,0.095112,3071.132183074951,Portfolio volatility 0.155947 > cap 0.150000
69,二人世界,C4,保值,success,7,37,40,16,7,37,32,24,0,0,8,-8,16,0.10439495102733658,0.085532,2446.5010166168213,
70,二人世界,C4,增值,validation_failed,7,18,60,15,7,18,34,41,,,,,,0.15668245083607799,0.096409,3443.2849884033203,Portfolio volatility 0.156682 > cap 0.140000
71,二人世界,C4,传承,validation_failed,7,25,60,8,7,26,33,34,,,,,,0.15604931848617604,0.091227,2997.1749782562256,Portfolio volatility 0.156049 > cap 0.140000
72,小孩学前,C4,保值,success,10,51,35,4,10,42,30,18,0,9,5,-14,28,0.09019347371068485,0.079039,2995.2170848846436,
73,小孩学前,C4,增值,validation_failed,10,25,55,10,10,25,33,32,,,,,,0.143114071635182,0.090589,3166.325807571411,Portfolio volatility 0.143114 > cap 0.140000
74,小孩学前,C4,传承,success,10,32,50,8,10,32,32,26,0,0,18,-18,36,0.1297811188116361,0.086164,2926.971197128296,
75,小孩成年前,C4,保值,success,8,59,30,3,8,51,30,11,0,8,0,-8,16,0.07713851567148541,0.077783,4773.6968994140625,
76,小孩成年前,C4,增值,success,8,37,45,10,8,37,32,23,0,0,13,-13,26,0.1167466569114508,0.085286,2626.192092895508,
77,小孩成年前,C4,传承,success,8,42,40,10,8,43,31,18,0,-1,9,-8,18,0.1036505397959895,0.081556,3180.457830429077,
78,子女成年,C4,保值,success,6,66,20,8,6,61,29,4,0,5,-9,4,18,0.05201706643016309,0.074575,2946.538209915161,
79,子女成年,C4,增值,success,6,55,30,9,6,49,31,14,0,6,-1,-5,12,0.07752223036007155,0.080772,3162.519931793213,
80,子女成年,C4,传承,success,6,54,30,10,6,54,30,10,0,0,0,0,0,0.07763375296866692,0.077634,2844.712972640991,
81,退休,C4,保值,success,12,88,0,0,12,66,22,0,0,22,-22,0,44,0.018099016547868007,0.056638,3560.720920562744,
82,退休,C4,增值,success,12,58,20,10,12,58,25,5,0,0,-5,5,10,0.052232809612349974,0.064375,3165.189027786255,
83,退休,C4,传承,success,12,61,20,7,12,61,22,5,0,0,-2,2,4,0.05184556490192773,0.056726,3095.2556133270264,
84,刚毕业,C5,保值,success,3,27,60,10,3,27,46,24,0,0,14,-14,28,0.15606162692987666,0.12131,2683.4187507629395,
85,刚毕业,C5,增值,validation_failed,3,10,84,3,3,4,48,45,,,,,,0.2191242022233053,0.132248,2646.2972164154053,Portfolio volatility 0.219124 > cap 0.160000
86,刚毕业,C5,传承,validation_failed,3,16,72,9,3,13,48,36,,,,,,0.187679413895078,0.129401,3000.3387928009033,Portfolio volatility 0.187679 > cap 0.160000
87,单身青年,C5,保值,success,4,30,50,16,4,30,46,20,0,0,4,-4,8,0.1304250635422502,0.120585,2576.014757156372,
88,单身青年,C5,增值,validation_failed,4,8,76,12,4,8,48,40,,,,,,0.19852278861631983,0.130633,2903.671979904175,Portfolio volatility 0.198523 > cap 0.150000
89,单身青年,C5,传承,validation_failed,4,17,60,19,4,17,47,32,,,,,,0.15707330581610612,0.125785,2719.5041179656982,Portfolio volatility 0.157073 > cap 0.150000
90,二人世界,C5,保值,success,7,31,50,12,7,32,44,17,0,-1,6,-5,12,0.1300442947614389,0.114969,2865.1211261749268,
91,二人世界,C5,增值,validation_failed,7,18,60,15,7,11,47,35,,,,,,0.15668245083607799,0.126704,2885.1101398468018,Portfolio volatility 0.156682 > cap 0.140000
92,二人世界,C5,传承,validation_failed,7,19,60,14,7,19,46,28,,,,,,0.15657315031639366,0.122317,3104.2640209198,Portfolio volatility 0.156573 > cap 0.140000
93,小孩学前,C5,保值,success,10,36,40,14,10,37,43,10,0,-1,-3,4,8,0.10417782489570417,0.111556,3222.309112548828,
94,小孩学前,C5,增值,validation_failed,10,18,60,12,10,19,46,25,,,,,,0.15648021216754535,0.12174,3335.139274597168,Portfolio volatility 0.156480 > cap 0.140000
95,小孩学前,C5,传承,validation_failed,10,26,54,10,10,26,45,19,,,,,,0.1404783243066346,0.11799,3380.4919719696045,Portfolio volatility 0.140478 > cap 0.140000
96,小孩成年前,C5,保值,success,8,52,23,17,8,47,43,2,0,5,-20,15,40,0.06114980866691245,0.111017,3589.0090465545654,
97,小孩成年前,C5,增值,success,8,32,50,10,8,32,45,15,0,0,5,-5,10,0.12988257927836205,0.117321,3612.4749183654785,
98,小孩成年前,C5,传承,success,8,42,40,10,8,38,44,10,0,4,-4,0,8,0.1036505397959895,0.114124,3241.6858673095703,
99,子女成年,C5,保值,success,6,63,25,6,6,57,37,0,0,6,-12,6,24,0.06442847119092614,0.095254,3505.0981044769287,
100,子女成年,C5,增值,success,6,44,40,10,6,45,43,6,0,-1,-3,4,8,0.10360332813187036,0.111139,4042.9999828338623,
101,子女成年,C5,传承,success,6,55,30,9,6,50,39,5,0,5,-9,4,18,0.07752223036007155,0.10061,2634.7782611846924,
102,退休,C5,保值,success,12,88,0,0,12,64,24,0,0,24,-24,0,48,0.018099016547868007,0.061717,3546.6248989105225,
103,退休,C5,增值,success,12,55,23,10,12,55,28,5,0,0,-5,5,10,0.05977631888967403,0.072095,2543.8170433044434,
104,退休,C5,传承,success,12,58,20,10,12,59,24,5,0,-1,-4,5,10,0.052232809612349974,0.061816,3019.869089126587,
