row_index,life_stage,risk_level,need,status,llm_w_cash,llm_w_bond,llm_w_equity,llm_w_commodity,exp_w_cash,exp_w_bond,exp_w_equity,exp_w_commodity,diff_cash,diff_bond,diff_equity,diff_commodity,total_diff,llm_vol,exp_vol,api_latency_ms,errors
10,小孩学前,C1,增值,constraint_mismatch,,,,,34,57,2,7,,,,,,,0.013605,,Constraint mismatch: CSV sigma=0.014000/cash=10/risk=10 vs Computed sigma=0.075000/cash=15/risk=36
11,小孩学前,C1,传承,constraint_mismatch,,,,,32,60,2,6,,,,,,,0.013686,,Constraint mismatch: CSV sigma=0.014000/cash=10/risk=9 vs Computed sigma=0.075000/cash=15/risk=30
12,小孩成年前,C1,保值,constraint_mismatch,,,,,30,64,2,4,,,,,,,0.013766,,Constraint mismatch: CSV sigma=0.014000/cash=8/risk=6 vs Computed sigma=0.060000/cash=15/risk=21
13,小孩成年前,C1,增值,constraint_mismatch,,,,,32,60,3,5,,,,,,,0.014159,,Constraint mismatch: CSV sigma=0.014000/cash=8/risk=8 vs Computed sigma=0.060000/cash=15/risk=30
14,小孩成年前,C1,传承,constraint_mismatch,,,,,31,62,2,5,,,,,,,0.013686,,Constraint mismatch: CSV sigma=0.014000/cash=8/risk=7 vs Computed sigma=0.060000/cash=15/risk=25
15,子女成年,C1,保值,constraint_mismatch,,,,,40,55,2,3,,,,,,,0.011959,,Constraint mismatch: CSV sigma=0.012000/cash=6/risk=5 vs Computed sigma=0.075000/cash=10/risk=25
16,子女成年,C1,增值,constraint_mismatch,,,,,41,53,1,5,,,,,,,0.011716,,Constraint mismatch: CSV sigma=0.012000/cash=6/risk=7 vs Computed sigma=0.075000/cash=10/risk=36
17,子女成年,C1,传承,constraint_mismatch,,,,,41,53,2,4,,,,,,,0.011846,,Constraint mismatch: CSV sigma=0.012000/cash=6/risk=6 vs Computed sigma=0.075000/cash=10/risk=30
18,退休,C1,保值,constraint_mismatch,,,,,50,47,1,2,,,,,,,0.009855,,Constraint mismatch: CSV sigma=0.010000/cash=12/risk=3 vs Computed sigma=0.040000/cash=20/risk=12
19,退休,C1,增值,constraint_mismatch,,,,,50,46,1,3,,,,,,,0.009848,,Constraint mismatch: CSV sigma=0.010000/cash=12/risk=4 vs Computed sigma=0.040000/cash=20/risk=18
20,退休,C1,传承,constraint_mismatch,,,,,50,46,2,2,,,,,,,0.010276,,Constraint mismatch: CSV sigma=0.010000/cash=12/risk=4 vs Computed sigma=0.040000/cash=20/risk=15
21,刚毕业,C2,保值,constraint_mismatch,,,,,3,85,7,5,,,,,,,0.023285,,Constraint mismatch: CSV sigma=0.024000/cash=3/risk=13 vs Computed sigma=0.135000/cash=10/risk=39
22,刚毕业,C2,增值,constraint_mismatch,,,,,3,80,7,10,,,,,,,0.024108,,Constraint mismatch: CSV sigma=0.024000/cash=3/risk=17 vs Computed sigma=0.135000/cash=10/risk=56
23,刚毕业,C2,传承,constraint_mismatch,,,,,3,82,7,8,,,,,,,0.023657,,Constraint mismatch: CSV sigma=0.024000/cash=3/risk=15 vs Computed sigma=0.135000/cash=10/risk=47
24,单身青年,C2,保值,constraint_mismatch,,,,,4,84,7,5,,,,,,,0.023164,,Constraint mismatch: CSV sigma=0.022500/cash=4/risk=12 vs Computed sigma=0.150000/cash=5/risk=44
25,单身青年,C2,增值,constraint_mismatch,,,,,4,80,6,10,,,,,,,0.022554,,Constraint mismatch: CSV sigma=0.022500/cash=4/risk=16 vs Computed sigma=0.150000/cash=5/risk=64
26,单身青年,C2,传承,constraint_mismatch,,,,,4,82,6,8,,,,,,,0.022078,,Constraint mismatch: CSV sigma=0.022500/cash=4/risk=14 vs Computed sigma=0.150000/cash=5/risk=54
27,二人世界,C2,保值,constraint_mismatch,,,,,7,82,6,5,,,,,,,0.021289,,Constraint mismatch: CSV sigma=0.021000/cash=7/risk=11 vs Computed sigma=0.135000/cash=10/risk=39
28,二人世界,C2,增值,constraint_mismatch,,,,,7,78,5,10,,,,,,,0.02094,,Constraint mismatch: CSV sigma=0.021000/cash=7/risk=15 vs Computed sigma=0.135000/cash=10/risk=56
29,二人世界,C2,传承,constraint_mismatch,,,,,7,80,5,8,,,,,,,0.020427,,Constraint mismatch: CSV sigma=0.021000/cash=7/risk=14 vs Computed sigma=0.135000/cash=10/risk=47
30,小孩学前,C2,保值,constraint_mismatch,,,,,10,81,5,4,,,,,,,0.019521,,Constraint mismatch: CSV sigma=0.021000/cash=10/risk=10 vs Computed sigma=0.112500/cash=15/risk=33
31,小孩学前,C2,增值,constraint_mismatch,,,,,10,77,6,7,,,,,,,0.02114,,Constraint mismatch: CSV sigma=0.021000/cash=10/risk=13 vs Computed sigma=0.112500/cash=15/risk=48
32,小孩学前,C2,传承,constraint_mismatch,,,,,10,79,5,6,,,,,,,0.019668,,Constraint mismatch: CSV sigma=0.021000/cash=10/risk=12 vs Computed sigma=0.112500/cash=15/risk=40
33,小孩成年前,C2,保值,constraint_mismatch,,,,,8,84,6,2,,,,,,,0.021158,,Constraint mismatch: CSV sigma=0.021000/cash=8/risk=8 vs Computed sigma=0.090000/cash=15/risk=28
34,小孩成年前,C2,增值,constraint_mismatch,,,,,8,81,6,5,,,,,,,0.021157,,Constraint mismatch: CSV sigma=0.021000/cash=8/risk=11 vs Computed sigma=0.090000/cash=15/risk=40
35,小孩成年前,C2,传承,constraint_mismatch,,,,,8,83,5,4,,,,,,,0.019818,,Constraint mismatch: CSV sigma=0.021000/cash=8/risk=10 vs Computed sigma=0.090000/cash=15/risk=34
36,子女成年,C2,保值,constraint_mismatch,,,,,9,85,2,4,,,,,,,0.017664,,Constraint mismatch: CSV sigma=0.018000/cash=6/risk=7 vs Computed sigma=0.112500/cash=10/risk=33
37,子女成年,C2,增值,constraint_mismatch,,,,,11,80,3,6,,,,,,,0.017751,,Constraint mismatch: CSV sigma=0.018000/cash=6/risk=9 vs Computed sigma=0.112500/cash=10/risk=48
38,子女成年,C2,传承,constraint_mismatch,,,,,10,82,3,5,,,,,,,0.017829,,Constraint mismatch: CSV sigma=0.018000/cash=6/risk=8 vs Computed sigma=0.112500/cash=10/risk=40
39,退休,C2,保值,constraint_mismatch,,,,,25,71,2,2,,,,,,,0.014721,,Constraint mismatch: CSV sigma=0.015000/cash=12/risk=4 vs Computed sigma=0.060000/cash=20/risk=16
40,退休,C2,增值,constraint_mismatch,,,,,25,69,3,3,,,,,,,0.015177,,Constraint mismatch: CSV sigma=0.015000/cash=12/risk=6 vs Computed sigma=0.060000/cash=20/risk=24
41,退休,C2,传承,constraint_mismatch,,,,,24,71,2,3,,,,,,,0.014848,,Constraint mismatch: CSV sigma=0.015000/cash=12/risk=5 vs Computed sigma=0.060000/cash=20/risk=20
42,刚毕业,C3,保值,constraint_mismatch,,,,,3,43,23,31,,,,,,,0.066013,,Constraint mismatch: CSV sigma=0.128000/cash=3/risk=54 vs Computed sigma=0.180000/cash=10/risk=49
43,刚毕业,C3,增值,constraint_mismatch,,,,,3,25,25,47,,,,,,,0.078661,,Constraint mismatch: CSV sigma=0.128000/cash=3/risk=72 vs Computed sigma=0.180000/cash=10/risk=70
44,刚毕业,C3,传承,constraint_mismatch,,,,,3,32,24,41,,,,,,,0.073162,,Constraint mismatch: CSV sigma=0.128000/cash=3/risk=65 vs Computed sigma=0.180000/cash=10/risk=59
45,单身青年,C3,保值,constraint_mismatch,,,,,4,45,23,28,,,,,,,0.064754,,Constraint mismatch: CSV sigma=0.120000/cash=4/risk=51 vs Computed sigma=0.200000/cash=5/risk=56
46,单身青年,C3,增值,constraint_mismatch,,,,,4,28,25,43,,,,,,,0.07645,,Constraint mismatch: CSV sigma=0.120000/cash=4/risk=68 vs Computed sigma=0.200000/cash=5/risk=80
47,单身青年,C3,传承,constraint_mismatch,,,,,4,35,24,37,,,,,,,0.071116,,Constraint mismatch: CSV sigma=0.120000/cash=4/risk=61 vs Computed sigma=0.200000/cash=5/risk=68
48,二人世界,C3,保值,constraint_mismatch,,,,,7,46,21,26,,,,,,,0.059272,,Constraint mismatch: CSV sigma=0.112000/cash=7/risk=48 vs Computed sigma=0.180000/cash=10/risk=49
49,二人世界,C3,增值,constraint_mismatch,,,,,7,30,23,40,,,,,,,0.070488,,Constraint mismatch: CSV sigma=0.112000/cash=7/risk=64 vs Computed sigma=0.180000/cash=10/risk=70
50,二人世界,C3,传承,constraint_mismatch,,,,,7,36,23,34,,,,,,,0.067428,,Constraint mismatch: CSV sigma=0.112000/cash=7/risk=57 vs Computed sigma=0.180000/cash=10/risk=59
51,小孩学前,C3,保值,constraint_mismatch,,,,,10,49,21,20,,,,,,,0.057104,,Constraint mismatch: CSV sigma=0.112000/cash=10/risk=41 vs Computed sigma=0.150000/cash=15/risk=42
52,小孩学前,C3,增值,constraint_mismatch,,,,,10,35,23,32,,,,,,,0.06653,,Constraint mismatch: CSV sigma=0.112000/cash=10/risk=55 vs Computed sigma=0.150000/cash=15/risk=60
53,小孩学前,C3,传承,constraint_mismatch,,,,,10,41,22,27,,,,,,,0.062039,,Constraint mismatch: CSV sigma=0.112000/cash=10/risk=50 vs Computed sigma=0.150000/cash=15/risk=51
54,小孩成年前,C3,保值,constraint_mismatch,,,,,8,57,21,14,,,,,,,0.055491,,Constraint mismatch: CSV sigma=0.112000/cash=8/risk=35 vs Computed sigma=0.120000/cash=15/risk=35
55,小孩成年前,C3,增值,constraint_mismatch,,,,,8,46,25,21,,,,,,,0.067191,,Constraint mismatch: CSV sigma=0.112000/cash=8/risk=47 vs Computed sigma=0.120000/cash=15/risk=50
56,小孩成年前,C3,传承,constraint_mismatch,,,,,8,50,22,20,,,,,,,0.059527,,Constraint mismatch: CSV sigma=0.112000/cash=8/risk=42 vs Computed sigma=0.120000/cash=15/risk=42
57,子女成年,C3,保值,constraint_mismatch,,,,,6,66,19,9,,,,,,,0.049673,,Constraint mismatch: CSV sigma=0.096000/cash=6/risk=29 vs Computed sigma=0.150000/cash=10/risk=42
58,子女成年,C3,增值,constraint_mismatch,,,,,6,56,31,7,,,,,,,0.079921,,Constraint mismatch: CSV sigma=0.096000/cash=6/risk=38 vs Computed sigma=0.150000/cash=10/risk=60
59,子女成年,C3,传承,constraint_mismatch,,,,,6,60,21,13,,,,,,,0.055291,,Constraint mismatch: CSV sigma=0.096000/cash=6/risk=34 vs Computed sigma=0.150000/cash=10/risk=51
60,退休,C3,保值,constraint_mismatch,,,,,12,69,19,0,,,,,,,0.049115,,Constraint mismatch: CSV sigma=0.080000/cash=12/risk=19 vs Computed sigma=0.080000/cash=20/risk=21
61,退休,C3,增值,constraint_mismatch,,,,,12,63,23,2,,,,,,,0.05916,,Constraint mismatch: CSV sigma=0.080000/cash=12/risk=26 vs Computed sigma=0.080000/cash=20/risk=30
62,退休,C3,传承,constraint_mismatch,,,,,12,66,17,5,,,,,,,0.044235,,Constraint mismatch: CSV sigma=0.080000/cash=12/risk=23 vs Computed sigma=0.080000/cash=20/risk=25
63,刚毕业,C4,保值,constraint_mismatch,,,,,3,34,32,31,,,,,,,0.087609,,Constraint mismatch: CSV sigma=0.160000/cash=3/risk=64 vs Computed sigma=0.225000/cash=10/risk=58
64,刚毕业,C4,增值,constraint_mismatch,,,,,3,12,35,50,,,,,,,0.102719,,Constraint mismatch: CSV sigma=0.160000/cash=3/risk=85 vs Computed sigma=0.225000/cash=10/risk=84
65,刚毕业,C4,传承,constraint_mismatch,,,,,3,21,34,42,,,,,,,0.096724,,Constraint mismatch: CSV sigma=0.160000/cash=3/risk=76 vs Computed sigma=0.225000/cash=10/risk=71
66,单身青年,C4,保值,constraint_mismatch,,,,,4,36,33,27,,,,,,,0.08884,,Constraint mismatch: CSV sigma=0.150000/cash=4/risk=60 vs Computed sigma=0.250000/cash=5/risk=67
67,单身青年,C4,增值,constraint_mismatch,,,,,4,16,35,45,,,,,,,0.100441,,Constraint mismatch: CSV sigma=0.150000/cash=4/risk=80 vs Computed sigma=0.250000/cash=5/risk=95
68,单身青年,C4,传承,constraint_mismatch,,,,,4,24,34,38,,,,,,,0.095112,,Constraint mismatch: CSV sigma=0.150000/cash=4/risk=72 vs Computed sigma=0.250000/cash=5/risk=81
69,二人世界,C4,保值,constraint_mismatch,,,,,7,37,32,24,,,,,,,0.085532,,Constraint mismatch: CSV sigma=0.140000/cash=7/risk=56 vs Computed sigma=0.225000/cash=10/risk=58
70,二人世界,C4,增值,constraint_mismatch,,,,,7,18,34,41,,,,,,,0.096409,,Constraint mismatch: CSV sigma=0.140000/cash=7/risk=75 vs Computed sigma=0.225000/cash=10/risk=84
71,二人世界,C4,传承,constraint_mismatch,,,,,7,26,33,34,,,,,,,0.091227,,Constraint mismatch: CSV sigma=0.140000/cash=7/risk=68 vs Computed sigma=0.225000/cash=10/risk=71
72,小孩学前,C4,保值,constraint_mismatch,,,,,10,42,30,18,,,,,,,0.079039,,Constraint mismatch: CSV sigma=0.140000/cash=10/risk=49 vs Computed sigma=0.187500/cash=15/risk=50
73,小孩学前,C4,增值,constraint_mismatch,,,,,10,25,33,32,,,,,,,0.090589,,Constraint mismatch: CSV sigma=0.140000/cash=10/risk=65 vs Computed sigma=0.187500/cash=15/risk=72
74,小孩学前,C4,传承,constraint_mismatch,,,,,10,32,32,26,,,,,,,0.086164,,Constraint mismatch: CSV sigma=0.140000/cash=10/risk=58 vs Computed sigma=0.187500/cash=15/risk=61
75,小孩成年前,C4,保值,constraint_mismatch,,,,,8,51,30,11,,,,,,,0.077783,,Constraint mismatch: CSV sigma=0.140000/cash=8/risk=41 vs Computed sigma=0.150000/cash=15/risk=42
76,小孩成年前,C4,增值,constraint_mismatch,,,,,8,37,32,23,,,,,,,0.085286,,Constraint mismatch: CSV sigma=0.140000/cash=8/risk=55 vs Computed sigma=0.150000/cash=15/risk=60
77,小孩成年前,C4,传承,constraint_mismatch,,,,,8,43,31,18,,,,,,,0.081556,,Constraint mismatch: CSV sigma=0.140000/cash=8/risk=50 vs Computed sigma=0.150000/cash=15/risk=51
78,子女成年,C4,保值,constraint_mismatch,,,,,6,61,29,4,,,,,,,0.074575,,Constraint mismatch: CSV sigma=0.120000/cash=6/risk=34 vs Computed sigma=0.187500/cash=10/risk=50
79,子女成年,C4,增值,constraint_mismatch,,,,,6,49,31,14,,,,,,,0.080772,,Constraint mismatch: CSV sigma=0.120000/cash=6/risk=45 vs Computed sigma=0.187500/cash=10/risk=72
80,子女成年,C4,传承,constraint_mismatch,,,,,6,54,30,10,,,,,,,0.077634,,Constraint mismatch: CSV sigma=0.120000/cash=6/risk=40 vs Computed sigma=0.187500/cash=10/risk=61
81,退休,C4,保值,constraint_mismatch,,,,,12,66,22,0,,,,,,,0.056638,,Constraint mismatch: CSV sigma=0.100000/cash=12/risk=22 vs Computed sigma=0.100000/cash=20/risk=25
82,退休,C4,增值,constraint_mismatch,,,,,12,58,25,5,,,,,,,0.064375,,Constraint mismatch: CSV sigma=0.100000/cash=12/risk=30 vs Computed sigma=0.100000/cash=20/risk=36
83,退休,C4,传承,constraint_mismatch,,,,,12,61,22,5,,,,,,,0.056726,,Constraint mismatch: CSV sigma=0.100000/cash=12/risk=27 vs Computed sigma=0.100000/cash=20/risk=30
84,刚毕业,C5,保值,constraint_mismatch,,,,,3,27,46,24,,,,,,,0.12131,,Constraint mismatch: CSV sigma=0.160000/cash=3/risk=70 vs Computed sigma=0.270000/cash=10/risk=68
85,刚毕业,C5,增值,constraint_mismatch,,,,,3,4,48,45,,,,,,,0.132248,,Constraint mismatch: CSV sigma=0.160000/cash=3/risk=94 vs Computed sigma=0.270000/cash=10/risk=95
86,刚毕业,C5,传承,constraint_mismatch,,,,,3,13,48,36,,,,,,,0.129401,,Constraint mismatch: CSV sigma=0.160000/cash=3/risk=84 vs Computed sigma=0.270000/cash=10/risk=83
87,单身青年,C5,保值,constraint_mismatch,,,,,4,30,46,20,,,,,,,0.120585,,Constraint mismatch: CSV sigma=0.150000/cash=4/risk=66 vs Computed sigma=0.300000/cash=5/risk=78
88,单身青年,C5,增值,constraint_mismatch,,,,,4,8,48,40,,,,,,,0.130633,,Constraint mismatch: CSV sigma=0.150000/cash=4/risk=88 vs Computed sigma=0.300000/cash=5/risk=95
89,单身青年,C5,传承,constraint_mismatch,,,,,4,17,47,32,,,,,,,0.125785,,Constraint mismatch: CSV sigma=0.150000/cash=4/risk=79 vs Computed sigma=0.300000/cash=5/risk=95
90,二人世界,C5,保值,constraint_mismatch,,,,,7,32,44,17,,,,,,,0.114969,,Constraint mismatch: CSV sigma=0.140000/cash=7/risk=62 vs Computed sigma=0.270000/cash=10/risk=68
91,二人世界,C5,增值,constraint_mismatch,,,,,7,11,47,35,,,,,,,0.126704,,Constraint mismatch: CSV sigma=0.140000/cash=7/risk=82 vs Computed sigma=0.270000/cash=10/risk=95
92,二人世界,C5,传承,constraint_mismatch,,,,,7,19,46,28,,,,,,,0.122317,,Constraint mismatch: CSV sigma=0.140000/cash=7/risk=74 vs Computed sigma=0.270000/cash=10/risk=83
93,小孩学前,C5,保值,constraint_mismatch,,,,,10,37,43,10,,,,,,,0.111556,,Constraint mismatch: CSV sigma=0.140000/cash=10/risk=54 vs Computed sigma=0.225000/cash=15/risk=58
94,小孩学前,C5,增值,constraint_mismatch,,,,,10,19,46,25,,,,,,,0.12174,,Constraint mismatch: CSV sigma=0.140000/cash=10/risk=72 vs Computed sigma=0.225000/cash=15/risk=84
95,小孩学前,C5,传承,constraint_mismatch,,,,,10,26,45,19,,,,,,,0.11799,,Constraint mismatch: CSV sigma=0.140000/cash=10/risk=64 vs Computed sigma=0.225000/cash=15/risk=71
96,小孩成年前,C5,保值,constraint_mismatch,,,,,8,47,43,2,,,,,,,0.111017,,Constraint mismatch: CSV sigma=0.140000/cash=8/risk=45 vs Computed sigma=0.180000/cash=15/risk=49
97,小孩成年前,C5,增值,constraint_mismatch,,,,,8,32,45,15,,,,,,,0.117321,,Constraint mismatch: CSV sigma=0.140000/cash=8/risk=60 vs Computed sigma=0.180000/cash=15/risk=70
98,小孩成年前,C5,传承,constraint_mismatch,,,,,8,38,44,10,,,,,,,0.114124,,Constraint mismatch: CSV sigma=0.140000/cash=8/risk=54 vs Computed sigma=0.180000/cash=15/risk=59
99,子女成年,C5,保值,constraint_mismatch,,,,,6,57,37,0,,,,,,,0.095254,,Constraint mismatch: CSV sigma=0.120000/cash=6/risk=37 vs Computed sigma=0.225000/cash=10/risk=58
100,子女成年,C5,增值,constraint_mismatch,,,,,6,45,43,6,,,,,,,0.111139,,Constraint mismatch: CSV sigma=0.120000/cash=6/risk=50 vs Computed sigma=0.225000/cash=10/risk=84
101,子女成年,C5,传承,constraint_mismatch,,,,,6,50,39,5,,,,,,,0.10061,,Constraint mismatch: CSV sigma=0.120000/cash=6/risk=45 vs Computed sigma=0.225000/cash=10/risk=71
102,退休,C5,保值,constraint_mismatch,,,,,12,64,24,0,,,,,,,0.061717,,Constraint mismatch: CSV sigma=0.100000/cash=12/risk=25 vs Computed sigma=0.120000/cash=20/risk=29
103,退休,C5,增值,constraint_mismatch,,,,,12,55,28,5,,,,,,,0.072095,,Constraint mismatch: CSV sigma=0.100000/cash=12/risk=33 vs Computed sigma=0.120000/cash=20/risk=42
104,退休,C5,传承,constraint_mismatch,,,,,12,59,24,5,,,,,,,0.061816,,Constraint mismatch: CSV sigma=0.100000/cash=12/risk=30 vs Computed sigma=0.120000/cash=20/risk=35
