row_index,life_stage,risk_level,need,status,llm_w_cash,llm_w_bond,llm_w_equity,llm_w_commodity,exp_w_cash,exp_w_bond,exp_w_equity,exp_w_commodity,diff_cash,diff_bond,diff_equity,diff_commodity,total_diff,llm_vol,exp_vol,api_latency_ms,errors
67,单身青年,C4,增值,pending,,,,,4,16,35,45,,,,,,,0.100441,,
68,单身青年,C4,传承,pending,,,,,4,24,34,38,,,,,,,0.095112,,
69,二人世界,C4,保值,pending,,,,,7,37,32,24,,,,,,,0.085532,,
70,二人世界,C4,增值,pending,,,,,7,18,34,41,,,,,,,0.096409,,
71,二人世界,C4,传承,pending,,,,,7,26,33,34,,,,,,,0.091227,,
72,小孩学前,C4,保值,pending,,,,,10,42,30,18,,,,,,,0.079039,,
73,小孩学前,C4,增值,pending,,,,,10,25,33,32,,,,,,,0.090589,,
74,小孩学前,C4,传承,pending,,,,,10,32,32,26,,,,,,,0.086164,,
75,小孩成年前,C4,保值,pending,,,,,8,51,30,11,,,,,,,0.077783,,
76,小孩成年前,C4,增值,pending,,,,,8,37,32,23,,,,,,,0.085286,,
77,小孩成年前,C4,传承,pending,,,,,8,43,31,18,,,,,,,0.081556,,
78,子女成年,C4,保值,pending,,,,,6,61,29,4,,,,,,,0.074575,,
79,子女成年,C4,增值,pending,,,,,6,49,31,14,,,,,,,0.080772,,
80,子女成年,C4,传承,pending,,,,,6,54,30,10,,,,,,,0.077634,,
81,退休,C4,保值,pending,,,,,12,66,22,0,,,,,,,0.056638,,
82,退休,C4,增值,pending,,,,,12,58,25,5,,,,,,,0.064375,,
83,退休,C4,传承,pending,,,,,12,61,22,5,,,,,,,0.056726,,
84,刚毕业,C5,保值,pending,,,,,3,27,46,24,,,,,,,0.12131,,
85,刚毕业,C5,增值,pending,,,,,3,4,48,45,,,,,,,0.132248,,
86,刚毕业,C5,传承,pending,,,,,3,13,48,36,,,,,,,0.129401,,
87,单身青年,C5,保值,pending,,,,,4,30,46,20,,,,,,,0.120585,,
88,单身青年,C5,增值,pending,,,,,4,8,48,40,,,,,,,0.130633,,
89,单身青年,C5,传承,pending,,,,,4,17,47,32,,,,,,,0.125785,,
90,二人世界,C5,保值,pending,,,,,7,32,44,17,,,,,,,0.114969,,
91,二人世界,C5,增值,pending,,,,,7,11,47,35,,,,,,,0.126704,,
92,二人世界,C5,传承,pending,,,,,7,19,46,28,,,,,,,0.122317,,
93,小孩学前,C5,保值,pending,,,,,10,37,43,10,,,,,,,0.111556,,
94,小孩学前,C5,增值,pending,,,,,10,19,46,25,,,,,,,0.12174,,
95,小孩学前,C5,传承,pending,,,,,10,26,45,19,,,,,,,0.11799,,
96,小孩成年前,C5,保值,pending,,,,,8,47,43,2,,,,,,,0.111017,,
97,小孩成年前,C5,增值,pending,,,,,8,32,45,15,,,,,,,0.117321,,
98,小孩成年前,C5,传承,pending,,,,,8,38,44,10,,,,,,,0.114124,,
99,子女成年,C5,保值,pending,,,,,6,57,37,0,,,,,,,0.095254,,
100,子女成年,C5,增值,pending,,,,,6,45,43,6,,,,,,,0.111139,,
101,子女成年,C5,传承,pending,,,,,6,50,39,5,,,,,,,0.10061,,
102,退休,C5,保值,pending,,,,,12,64,24,0,,,,,,,0.061717,,
103,退休,C5,增值,pending,,,,,12,55,28,5,,,,,,,0.072095,,
104,退休,C5,传承,pending,,,,,12,59,24,5,,,,,,,0.061816,,
